cliente,projeto,sprint,inicio,fim,duracao,ciclo1,ciclo2,ciclo3,ciclo4,status,correcoes,total,retrabalho,ciclo5,num_ciclos,aceite_1ciclo,status_simplificado,atrasada,eficiencia,taxa_corretivas,score_qualidade,classificacao
SEMED,SIE - CORUÍPE,24.0.0,01/10/2025,,41,03/11/2025,,,,Correção/Atrasada,7,10,70.0,,2,0,Em Correção,1,0.048780487804878,70.0,48.0,Regular
SEMED,SIE - CORUÍPE,26.0.0,14/11/2025,01/12/2025,18,28/11/2025,,,,Liberada/Atrasada,0,3715,0.0,,2,0,Liberada,1,0.1111111111111111,0.0,97.0,Excelente
SEMOB,SEMOB,36.1.0,30/10/2025,24/11/2025,26,17/11/2025,24/11/2025,,,Liberada/Atrasada,4,5842,0.07,,3,0,Liberada,1,0.1153846153846153,0.0684697021567956,93.95145908935297,Excelente
SEMOB,SYSMOBI,36.0.0,07/10/2025,05/11/2025,30,03/11/2025,05/11/2025,,,Liberada/Atrasada,1,21,4.76,,3,0,Liberada,1,0.1,4.761904761904762,90.66742857142856,Excelente
SEMOB,SYSMOBI,36.1.0,30/10/2025,,26,17/11/2025,,,,Correção/Atrasada,4,58432,0.01,,2,0,Em Correção,1,0.0769230769230769,0.0068455640744797,96.99394633077766,Excelente
SEMOP,GESTÃO COMERCIAL,1.9.0,16/10/2025,04/11/2025,20,05/11/2025,,,,Liberada/Atrasada,0,18,0.0,,2,0,Liberada,1,0.1,0.0,97.0,Excelente
SEMPRE,SIGSUAS,14.5.0,11/11/2025,,14,,,,,Correção,1525,2433,62.68,,1,1,Em Correção,0,0.0714285714285714,62.67981915330867,56.1240542540074,Regular
SMED,CONSELHO ESCOLAR,5.0.0,28/10/2025,12/11/2025,16,10/11/2025,12/11/2025,,,Liberada/Atrasada,21,1767,1.19,,3,0,Liberada,1,0.1875,1.1884550084889642,93.16746349745333,Excelente
SMED,CONSELHO ESCOLAR,6.0.0,27/10/2025,12/11/2025,1,12/11/2025,,,,Liberada,132,171,77.19,,2,0,Liberada,0,2.0,77.19298245614034,42.9661052631579,Regular
SMED,GESTÃO DE PESSOAS,10.0.0,19/09/2025,09/11/2025,52,10/11/2025,,,,Liberada/Atrasada,6,15,40.0,,2,0,Liberada,1,0.0384615384615384,40.0,69.0,Bom
SMED,GESTÃO DE PESSOAS,9.0.0,01/08/2025,09/11/2025,101,10/11/2025,,,,Liberada/Atrasada,0,6,0.0,,2,0,Liberada,1,0.0198019801980198,0.0,97.0,Excelente
SMED,SIE - SALVADOR,60.0.0,29/09/2025,05/11/2025,38,06/11/2025,,,,Liberada/Sem QA,7,16,43.75,,2,0,Liberada,0,0.0526315789473684,43.75,66.375,Bom
SMED,SIE - SALVADOR,61.0.0,21/10/2025,25/11/2025,36,07/11/2025,24/11/2025,,,Liberada/Atrasada,277,2770,10.0,,3,0,Liberada,1,0.0833333333333333,10.0,87.0,Excelente
SMED,SIE - SALVADOR,62.0.0 Supl,10/11/2025,24/11/2025,15,24/11/2025,,,,Liberada/Sem QA,3271,585,46.5,,2,0,Liberada,0,0.1333333333333333,559.1452991452991,0.0,Crítico
SMED,SIE - SALVADOR,63.0.0,11/11/2025,,21,25/11/2025,,,,Correção/Atrasada,4,3654,0.0,,2,0,Em Correção,1,0.0952380952380952,0.1094690749863163,96.96715927750412,Excelente
TRANSALVADOR,SISTEMA DE SINALIZAÇÃO,10.0.0,17/10/2025,12/11/2025,57,10/11/2025,,,,Liberada/Sem QA,0,3089,0.0,,2,0,Liberada,0,0.0350877192982456,0.0,97.0,Excelente
TRANSALVADOR,SISTEMA DE SINALIZAÇÃO,12.0.0,04/11/2025,14/11/2025,11,11/11/2025,13/11/2025,,,Liberada,279,1686,16.55,,3,0,Liberada,0,0.2727272727272727,16.548042704626333,82.41558718861211,Excelente
